time,open,high,low,close,volume
1388613600,105.246,105.442,104.548,104.81,76933
1388700000,104.812,104.89,104.076,104.851,64141
1388959200,104.824,104.952,103.914,104.217,78448
1389045600,104.218,104.736,104.168,104.6,66801
1389132000,104.601,105.124,104.532,104.857,74924
1389218400,104.855,105.06,104.574,104.812,60703
1389304800,104.813,105.342,103.83,104.178,82242
1389564000,103.99,104.137,102.857,103.0,77130
1389650400,102.997,104.286,102.958,104.212,71056
1389736800,104.21,104.696,104.094,104.556,60168
1389823200,104.558,104.924,104.152,104.35,59158
1389909600,104.348,104.475,104.196,104.332,47122
1390168800,104.224,104.32,103.864,104.178,42996
1390255200,104.182,104.75,104.028,104.302,57510
1390341600,104.306,104.582,103.972,104.514,59287
1390428000,104.518,104.842,102.974,103.255,94330
1390514400,103.254,103.585,102.0,102.381,119761
1390773600,102.248,102.932,101.766,102.549,111023
1390860000,102.553,103.252,102.488,102.944,72779
1390946400,102.942,103.444,101.843,102.286,122961
1391032800,102.286,102.893,102.07,102.718,85649
1391119200,102.729,102.936,101.952,102.017,93659
1391378400,102.007,102.414,100.778,100.986,110604
1391464800,100.988,101.678,100.754,101.646,103215
1391551200,101.646,101.767,100.804,101.45,106969
1391637600,101.45,102.174,101.243,102.104,83590
1391724000,102.104,102.58,101.428,102.374,91088
1391983200,102.543,102.651,101.992,102.265,53171
1392069600,102.247,102.7,102.079,102.628,54018
1392156000,102.632,102.682,102.226,102.536,54304
1392242400,102.533,102.57,101.696,102.166,66880
1392328800,102.166,102.411,101.569,101.806,66123
1392588000,101.646,101.988,101.39,101.916,39565
1392674400,101.916,102.744,101.761,102.359,69572
1392760800,102.359,102.467,101.852,102.302,58544
1392847200,102.304,102.42,101.666,102.272,71140
1392933600,102.28,102.832,102.272,102.478,53009
1393192800,102.474,102.679,102.167,102.494,49039
1393279200,102.494,102.624,102.011,102.235,50321
1393365600,102.239,102.611,102.104,102.378,55026
1393452000,102.378,102.446,101.725,102.122,51823
1393538400,102.122,102.296,101.556,101.783,66224
1393797600,101.491,101.688,101.201,101.451,62494
1393884000,101.448,102.286,101.401,102.202,54106
1393970400,102.205,102.552,102.117,102.304,49385
1394056800,102.308,103.17,102.273,103.077,56625
1394143200,103.074,103.764,102.838,103.245,57518
1394398800,103.039,103.404,102.936,103.269,48218
