time,open,high,low,close,volume
1388613600,105.246,105.395,105.242,105.362,1109
1388617200,105.362,105.4,105.273,105.334,1650
1388620800,105.334,105.337,105.246,105.32,2629
1388624400,105.32,105.334,105.27,105.306,1827
1388628000,105.305,105.328,105.238,105.246,2821
1388631600,105.246,105.303,105.242,105.282,1976
1388635200,105.282,105.307,105.263,105.294,1868
1388638800,105.294,105.322,105.28,105.307,1521
1388642400,105.306,105.332,105.278,105.325,3299
1388646000,105.325,105.388,105.288,105.365,3721
1388649600,105.365,105.398,105.315,105.356,3682
1388653200,105.36,105.399,105.346,105.369,3770
1388656800,105.367,105.388,105.324,105.386,3811
1388660400,105.386,105.442,105.368,105.397,2686
1388664000,105.397,105.432,105.368,105.386,3221
1388667600,105.385,105.394,105.085,105.106,4683
1388671200,105.106,105.125,104.788,104.86,7554
1388674800,104.862,105.026,104.663,105.026,8642
1388678400,105.025,105.043,104.776,104.846,3863
1388682000,104.846,104.91,104.774,104.844,2227
1388685600,104.846,104.866,104.64,104.678,2829
1388689200,104.678,104.727,104.548,104.706,3460
1388692800,104.708,104.796,104.704,104.758,2038
1388696400,104.758,104.83,104.664,104.81,2046
1388700000,104.812,104.836,104.744,104.833,1439
1388703600,104.833,104.864,104.762,104.843,1736
1388707200,104.841,104.85,104.774,104.82,1342
1388710800,104.82,104.869,104.776,104.778,1602
1388714400,104.778,104.78,104.158,104.31,7361
1388718000,104.311,104.388,104.161,104.267,3249
1388721600,104.266,104.342,104.204,104.214,2026
1388725200,104.214,104.231,104.076,104.224,3792
1388728800,104.222,104.324,104.138,104.274,2228
1388732400,104.275,104.46,104.245,104.366,2736
1388736000,104.367,104.4,104.212,104.394,3554
1388739600,104.394,104.404,104.261,104.319,2285
1388743200,104.32,104.424,104.302,104.414,1788
1388746800,104.414,104.495,104.373,104.42,2730
1388750400,104.421,104.536,104.321,104.474,2697
1388754000,104.474,104.514,104.388,104.457,2406
1388757600,104.456,104.46,104.297,104.445,3922
1388761200,104.446,104.49,104.336,104.472,3615
1388764800,104.472,104.592,104.454,104.454,3944
1388768400,104.454,104.552,104.442,104.49,1762
1388772000,104.488,104.498,104.405,104.471,1367
1388775600,104.471,104.664,104.436,104.66,1869
1388779200,104.662,104.837,104.63,104.78,2991
1388782800,104.78,104.89,104.758,104.851,1700
1388959200,104.824,104.879,104.812,104.856,1528
1388962800,104.856,104.934,104.82,104.914,2239
1388966400,104.914,104.952,104.573,104.638,6107
1388970000,104.636,104.656,104.151,104.261,6311
1388973600,104.262,104.368,104.226,104.312,3557
1388977200,104.31,104.441,104.266,104.408,2376
1388980800,104.406,104.452,104.328,104.377,2145
1388984400,104.376,104.376,104.233,104.3,2413
1388988000,104.298,104.411,104.254,104.354,1842
1388991600,104.353,104.386,104.294,104.382,2100
1388995200,104.38,104.646,104.377,104.532,4152
1388998800,104.531,104.612,104.512,104.558,2681
1389002400,104.558,104.593,104.484,104.514,1819
1389006000,104.514,104.631,104.51,104.611,1878
1389009600,104.612,104.656,104.55,104.596,2082
1389013200,104.596,104.65,104.558,104.618,2097
1389016800,104.617,104.84,104.613,104.82,4585
1389020400,104.82,104.82,104.5,104.527,6163
1389024000,104.527,104.598,104.297,104.384,5440
1389027600,104.382,104.382,103.914,104.044,7050
1389031200,104.042,104.216,103.964,104.184,3458
1389034800,104.185,104.338,104.184,104.268,2821
1389038400,104.271,104.296,104.116,104.188,2307
1389042000,104.192,104.235,104.167,104.217,1297
1389045600,104.218,104.272,104.168,104.232,1620
1389049200,104.232,104.288,104.199,104.224,2046
1389052800,104.223,104.492,104.222,104.386,4555
1389056400,104.386,104.396,104.178,104.327,4418
1389060000,104.326,104.394,104.246,104.322,2341
1389063600,104.324,104.622,104.32,104.549,3709
1389067200,104.55,104.598,104.391,104.464,2854
1389070800,104.464,104.595,104.416,104.582,2866
1389074400,104.581,104.581,104.424,104.428,2234
1389078000,104.429,104.504,104.334,104.364,2460
1389081600,104.364,104.416,104.25,104.346,3254
1389085200,104.346,104.378,104.283,104.342,2488
1389088800,104.341,104.466,104.333,104.442,2706
1389092400,104.444,104.478,104.373,104.428,2322
1389096000,104.427,104.486,104.378,104.44,2553
1389099600,104.441,104.559,104.377,104.498,3685
1389103200,104.498,104.635,104.43,104.632,3560
1389106800,104.63,104.736,104.614,104.657,4934
1389110400,104.656,104.66,104.532,104.55,2684
1389114000,104.55,104.558,104.334,104.487,3197
1389117600,104.486,104.546,104.444,104.5,2059
1389121200,104.5,104.527,104.444,104.485,1792
1389124800,104.484,104.558,104.474,104.554,1376
1389128400,104.556,104.624,104.541,104.6,1088
