signal_time,side,entry,stop,target
1433451600,long,125.60000000000001,124.96000000000001,126.88000000000001
1480456800,long,114.46000000000001,113.8,115.79
1546207200,short,109.59,110.24000000000001,108.28
1637618400,long,115.13,114.87,115.65
1669845600,short,135.35,137.59,130.86
1678140000,long,137.16,137.01,137.46
1701900000,short,144.17000000000002,146.33,139.85
1713733200,long,154.84,154.69,155.14000000000001
1721768400,short,153.9,155.47,150.76
1722373200,short,149.99,152.04,145.89000000000001
1729112400,long,150.22,149.88,150.9
1730062800,long,153.3,153.09,153.73
1735164000,long,158.02,157.83,158.4
1744750800,short,141.86,142.15,141.28
