signal_time,side,entry,stop,target
1420419600,long,120.4,120.03,121.15
1420452000,long,120.36,120.08,120.92
1420542000,long,119.32000000000001,118.86,120.25
1420722000,short,119.46000000000001,119.94,118.5
1421071200,short,118.36,119.02,117.04
1421078400,short,118.33,118.79,117.4
1421121600,long,118.37,117.82000000000001,119.47
1422889200,short,117.26,117.65,116.48
1422943200,long,117.18,116.84,117.87
1423022400,short,117.73,118.04,117.11
1423728000,long,119.64,118.63,121.67
1424170800,short,118.77,119.03,118.24000000000001
1424790000,short,119.19,119.94,117.69
1428926400,short,120.14,120.68,119.05
1429124400,long,119.14,118.79,119.84
1429272000,long,119.19,118.54,120.49000000000001
1429862400,long,119.49000000000001,119.15,120.18
1430150400,short,118.94,119.24000000000001,118.33
1430827200,short,120.11,120.60000000000001,119.12
1431086400,short,119.75,120.34,118.56
1431698400,short,119.3,119.72,118.45
1436284800,long,122.27,121.91,122.99000000000001
1438606800,short,124.04,124.33,123.46000000000001
1438948800,long,125.03,124.22,126.65
1439366400,long,124.64,124.24000000000001,125.44
1439812800,short,124.32000000000001,124.65,123.66
1446728400,short,121.69,122.01,121.04
1463490000,short,109.03,109.4,108.28
1464242400,long,109.9,109.53,110.65
1464649200,short,110.84,111.12,110.28
1473858000,short,102.74000000000001,103.07000000000001,102.08
1473940800,long,102.43,101.84,103.62
1474423200,long,101.53,101.10000000000001,102.39
1474430400,long,102.61,100.91,106.01
1474441200,short,101.81,102.44,100.55
1488301200,long,111.94,111.59,112.64
1488330000,short,113.02,113.48,112.09
1488564000,short,114.24000000000001,114.85000000000001,113.02
1501092000,short,111.32000000000001,112.3,109.36
1501678800,short,110.58,111.01,109.71000000000001
1502200800,long,110.76,110.27,111.75
1503068400,long,109.31,108.58,110.78
1504180800,short,110.48,110.76,109.92
1504267200,long,109.99000000000001,109.46000000000001,111.06
1505390400,short,110.45,111.14,109.07000000000001
1505426400,long,109.94,109.46000000000001,110.9
1505476800,short,110.71000000000001,111.35000000000001,109.43
1523383200,short,107.17,107.48,106.55
1528912800,short,110.54,110.95,109.72
1529953200,long,109.82000000000001,109.33,110.81
1556733600,long,111.60000000000001,110.95,112.91
1567375200,long,106.12,105.83,106.71000000000001
1569938400,short,107.85000000000001,108.49000000000001,106.57000000000001
1574082000,short,108.79,109.14,108.09
1587366000,short,107.7,108.01,107.08
1587646800,long,107.83,107.25,108.99000000000001
1589814000,short,107.26,107.54,106.7
1598533200,long,106.23,105.5,107.7
1598587200,short,106.7,106.98,106.14
